{x=1353,m=3037,a=1714,s=2238}
{x=238,m=501,a=241,s=275}
{x=458,m=255,a=1644,s=2634}
{x=2638,m=508,a=947,s=1523}
{x=1069,m=1215,a=248,s=556}
{x=746,m=1738,a=2812,s=1901}
{x=231,m=721,a=179,s=179}
{x=103,m=234,a=808,s=1723}
{x=1818,m=2372,a=64,s=10}
{x=784,m=1447,a=483,s=188}
{x=1495,m=244,a=1788,s=1054}
{x=152,m=618,a=908,s=324}
{x=3083,m=1473,a=645,s=1293}
{x=64,m=1650,a=171,s=1497}
{x=1708,m=1167,a=1002,s=628}
{x=808,m=1930,a=1475,s=2057}
{x=1690,m=89,a=1585,s=460}
{x=2422,m=1317,a=246,s=2592}
{x=526,m=250,a=410,s=709}
{x=273,m=222,a=117,s=989}
